C2LoUyrEktj1EsTz17rdknoFIKBS    I35Pq2kftl3 Weighting value: {'letters': 31, 'digits': 8, 'space': 4, 'other': 0}
dPbAq0f2O1YG8WgxtdwTL4FfY4PZ68Akv3AISlzj    7 Weighting value: {'letters': 31, 'digits': 10, 'space': 4, 'other': 0}
FMC9gMShOzH3nUqbUqG   cWDJ32CCbkZqBncoXhXUv Weighting value: {'letters': 36, 'digits': 4, 'space': 3, 'other': 0}
amm86KDOi5BwUZ8UOpiPZGkEmSavGs5Z42 Weighting value: {'letters': 27, 'digits': 7, 'space': 0, 'other': 0}
k8   ZFJlXO4    QPbwH2WNXQjSp5fyW6Y    6D Weighting value: {'letters': 24, 'digits': 6, 'space': 11, 'other': 0}
8SfAearskltt   KXe     5N2Wi0Xtma  v Weighting value: {'letters': 22, 'digits': 4, 'space': 10, 'other': 0}
oI52i4GA0pW77x7AMvxX2PmImIqNde97X Weighting value: {'letters': 23, 'digits': 10, 'space': 0, 'other': 0}
rrvwI    a2TBg Weighting value: {'letters': 9, 'digits': 1, 'space': 4, 'other': 0}
6W5t5q8Sp25AyK83VoLI5ZwuQuuYEZ9MCDT0bp4B363Y Weighting value: {'letters': 29, 'digits': 15, 'space': 0, 'other': 0}
8hQgsqtWFHGF713V4dAU7keT   zGzrsx8xx6 Weighting value: {'letters': 26, 'digits': 8, 'space': 3, 'other': 0}
fYFs0imf    nFBb1O5w     U9RcEtT1   sAY0nWutX Weighting value: {'letters': 27, 'digits': 6, 'space': 12, 'other': 0}
9C     etpGp     dqzN3   LC6AmbEtzj Weighting value: {'letters': 19, 'digits': 3, 'space': 13, 'other': 0}
mpv3sffiRX90PiL3   DCaPzRTu3Q3ao     2Zex0TE9 Weighting value: {'letters': 28, 'digits': 9, 'space': 8, 'other': 0}
XcvdJbWcVPwaTLy0uhdWsQ7UA   Zjp8T61R8xyn Weighting value: {'letters': 31, 'digits': 6, 'space': 3, 'other': 0}
WVfLl5vpnGdIRXic0YH59LOWShmYtf     1GHfQeHX Weighting value: {'letters': 33, 'digits': 5, 'space': 5, 'other': 0}
6edf9hmeEKk67    gJl10dVrCG5YvAdC0 Weighting value: {'letters': 22, 'digits': 8, 'space': 4, 'other': 0}
QhxILYQt6cIqKxVPagPjh3Qmz Weighting value: {'letters': 23, 'digits': 2, 'space': 0, 'other': 0}
KxuLEWsqe6iVyA8BOwran Weighting value: {'letters': 19, 'digits': 2, 'space': 0, 'other': 0}
Nok3iqNFn1RaecaBfI1Wt0H Weighting value: {'letters': 19, 'digits': 4, 'space': 0, 'other': 0}
T7C   Im   FPENbFT    rEcKUVtfX Weighting value: {'letters': 20, 'digits': 1, 'space': 10, 'other': 0}
BXDLTpmyWgBEKg1rZfjSTAIUOsOIYZwnqo4jQ3kvJQ  6 Weighting value: {'letters': 39, 'digits': 4, 'space': 2, 'other': 0}
oamEWCp2U0QU3ZhXVJoI    BP Weighting value: {'letters': 19, 'digits': 3, 'space': 4, 'other': 0}
GngeH7ujQ5o4VOAaO3MpobxRf Weighting value: {'letters': 21, 'digits': 4, 'space': 0, 'other': 0}
V0dbf1p0Gsfgh8Kik9SrDUetRQWzME Weighting value: {'letters': 25, 'digits': 5, 'space': 0, 'other': 0}
nEw5rRilvE4uVH0h Weighting value: {'letters': 13, 'digits': 3, 'space': 0, 'other': 0}
33IhvsIajzUfZrVFN    l     k Weighting value: {'letters': 17, 'digits': 2, 'space': 9, 'other': 0}
m7STHkQSqV0L Weighting value: {'letters': 10, 'digits': 2, 'space': 0, 'other': 0}
hkqhF   JG7TaAjY5TxMFd1vkvFBpd982EEU Weighting value: {'letters': 27, 'digits': 6, 'space': 3, 'other': 0}
bQLoVDeyLDacuUhqL   OkEPUaQO8NcGBCWv Weighting value: {'letters': 32, 'digits': 1, 'space': 3, 'other': 0}
hbYdiIF1h   wt39NzxgN Weighting value: {'letters': 15, 'digits': 3, 'space': 3, 'other': 0}
hVf     rmuHya    9x4h Weighting value: {'letters': 11, 'digits': 2, 'space': 9, 'other': 0}
ci    6MTzo   QNkfq68N  j Weighting value: {'letters': 13, 'digits': 3, 'space': 9, 'other': 0}
T3NWZCHHDUoMa3hRYPiH9uvOdPzb83Wb Weighting value: {'letters': 27, 'digits': 5, 'space': 0, 'other': 0}
60wZWGImOYQT7eYT6 Weighting value: {'letters': 13, 'digits': 4, 'space': 0, 'other': 0}
ChOM    JmDusqzfhHxpZmXcqlTI9JjL5xEv1HLP    0 Weighting value: {'letters': 33, 'digits': 4, 'space': 8, 'other': 0}
O0pZyST   DTark9k0 Weighting value: {'letters': 12, 'digits': 3, 'space': 3, 'other': 0}
fIhMBDpP1MbOXoJkL0CyssBxGbqQn Weighting value: {'letters': 27, 'digits': 2, 'space': 0, 'other': 0}
oxKTwKyDu5bWMg    WqJSSty4aPpJMCT    bdzlXDq Weighting value: {'letters': 34, 'digits': 2, 'space': 8, 'other': 0}
FIVWDJhqTQ36IiAkKFVbPuu6exrPT Weighting value: {'letters': 26, 'digits': 3, 'space': 0, 'other': 0}
Gc2L5tSbBtKvXCKy8Kx9OJ9x203     lZLrQH9ft Weighting value: {'letters': 27, 'digits': 9, 'space': 5, 'other': 0}
ANT56    I0eD81gx     NM Weighting value: {'letters': 10, 'digits': 5, 'space': 9, 'other': 0}
ryeqJZwx7hEZXuNkds   2qIJ Weighting value: {'letters': 20, 'digits': 2, 'space': 3, 'other': 0}
debvaCHXrYssquHqUojkJMOTY07 Weighting value: {'letters': 25, 'digits': 2, 'space': 0, 'other': 0}
yIsZ6qiPMk     fmxdKi82mIK76N Weighting value: {'letters': 19, 'digits': 5, 'space': 5, 'other': 0}
dHDNK1pGtC   myiErPWhWWGqMNKx Weighting value: {'letters': 25, 'digits': 1, 'space': 3, 'other': 0}
5R5M7L8VvWQIMx2EwUa3ltyjGv7SwqFhR2NHC78     o Weighting value: {'letters': 30, 'digits': 10, 'space': 5, 'other': 0}
zJVZ    uy3gUKHRI1nhYjnbFafF4Szr9G Weighting value: {'letters': 26, 'digits': 4, 'space': 4, 'other': 0}
MGgX   WhUI4d     YsG     r     m2P Weighting value: {'letters': 15, 'digits': 2, 'space': 18, 'other': 0}
0zbp6U88znHUT5ia6Gn5jf Weighting value: {'letters': 15, 'digits': 7, 'space': 0, 'other': 0}
C1qrXfipZAYAnt3buM    cJ0Vz    xzUrvNw Weighting value: {'letters': 27, 'digits': 3, 'space': 8, 'other': 0}
8FEa   S5SvOv   8 Weighting value: {'letters': 8, 'digits': 3, 'space': 6, 'other': 0}
iA7gHN8Shj Weighting value: {'letters': 8, 'digits': 2, 'space': 0, 'other': 0}
C1AvU1tQMKb   H7   u90zmSBQVw6SSjhHg Weighting value: {'letters': 24, 'digits': 6, 'space': 6, 'other': 0}
PvdglOw9mKyXrvapx49U0 Weighting value: {'letters': 17, 'digits': 4, 'space': 0, 'other': 0}
jzTCCLINEcVpReMlBVDGrnLZz     SuxnFjT8xLQO7t Weighting value: {'letters': 37, 'digits': 2, 'space': 5, 'other': 0}
wDF9l18tkJ   FWJEMHb6t4ArpUtW Weighting value: {'letters': 21, 'digits': 5, 'space': 3, 'other': 0}
xOWBGkNJawo0hV Weighting value: {'letters': 13, 'digits': 1, 'space': 0, 'other': 0}
68JtY5SoQPtT6t79HP7MqDzdAT59OMA9qKQR     QV Weighting value: {'letters': 28, 'digits': 10, 'space': 5, 'other': 0}
Nj0BZfsveerX1Mur88BfwjQ2V8nnvl9jRAPY4EZN Weighting value: {'letters': 32, 'digits': 8, 'space': 0, 'other': 0}
Gq0    vT     u1     Ye2  S Weighting value: {'letters': 8, 'digits': 3, 'space': 16, 'other': 0}
3ykuMvo1XV     PWUoR7irs6AiPrljDyPa1K Weighting value: {'letters': 27, 'digits': 5, 'space': 5, 'other': 0}
1F1     ci1598DXgfBqXfkVt Weighting value: {'letters': 14, 'digits': 6, 'space': 5, 'other': 0}
WQaIcv7AAHygtN0ejnYXOsLxDm0 Weighting value: {'letters': 24, 'digits': 3, 'space': 0, 'other': 0}
VDG8cev7484frUTaqUzHfa5jw99 Weighting value: {'letters': 19, 'digits': 8, 'space': 0, 'other': 0}
YIoRyqa6PS8D   n5rMjaNNYYx8Gct075k5gACQiotF Weighting value: {'letters': 32, 'digits': 8, 'space': 3, 'other': 0}
pemV2DgR2TgDSQ35XKlVjnLMigWKJdm2mB Weighting value: {'letters': 29, 'digits': 5, 'space': 0, 'other': 0}
N1JoMr19oC5DTp   UvGul9eB5 Weighting value: {'letters': 17, 'digits': 6, 'space': 3, 'other': 0}
AExMYCEn7fgoxHUHE1ASz   Ya44h5 Weighting value: {'letters': 22, 'digits': 5, 'space': 3, 'other': 0}
Ogt    G6JYBeIdl    a     W9Zdvkp Weighting value: {'letters': 18, 'digits': 2, 'space': 13, 'other': 0}
vZtEOq5ByzhgWnakzzUkC78RyVIdP8xGehaJFmS Weighting value: {'letters': 35, 'digits': 4, 'space': 0, 'other': 0}
sVHgTe9B2JolL79XCKvBOlqrJrfdBe Weighting value: {'letters': 26, 'digits': 4, 'space': 0, 'other': 0}
WC3DmvC2     dZshitPeK8Lv2CPOP23hpXcnoY    Jg Weighting value: {'letters': 30, 'digits': 6, 'space': 9, 'other': 0}
Vs   JJfHgq5cstS     7FXFZlOM7aHVW    WuqHoqa Weighting value: {'letters': 30, 'digits': 3, 'space': 12, 'other': 0}
at5DEM1D8w1aYqoM     Qb6MGLwx2j6X3    U Weighting value: {'letters': 22, 'digits': 8, 'space': 9, 'other': 0}
RaOmEjVCbRgj Weighting value: {'letters': 12, 'digits': 0, 'space': 0, 'other': 0}
QInbWZRFZA    Fg9 Weighting value: {'letters': 12, 'digits': 1, 'space': 4, 'other': 0}
oE8Z     yKODytl     aXkMPodwao5LbyQVnc3lV Weighting value: {'letters': 29, 'digits': 3, 'space': 10, 'other': 0}
pRoMyAZ9v4QjWvCr Weighting value: {'letters': 14, 'digits': 2, 'space': 0, 'other': 0}
tLP    n8DJ1JZO7YHpbA8Y6hxNjira Weighting value: {'letters': 22, 'digits': 5, 'space': 4, 'other': 0}
XCu5c2fkfB08HBwtsCPTBV2gCNYdB9WLXhp    2 Weighting value: {'letters': 29, 'digits': 7, 'space': 4, 'other': 0}
DqboMrlACPgECyb7fXGfdBxeIEhCcyiEUVpEhEnX Weighting value: {'letters': 39, 'digits': 1, 'space': 0, 'other': 0}
IVEQrWkV    bU   TPV3sKMwbXibnvCICc0Kc2     N Weighting value: {'letters': 30, 'digits': 3, 'space': 12, 'other': 0}
4BgyBtbXPMIdle2wmtiVM6TogMS0Qww8HHQiNt Weighting value: {'letters': 33, 'digits': 5, 'space': 0, 'other': 0}
UgHwMn3ypQJwrTe3soj6iGdXK6FbsPDiUu   f8QOS Weighting value: {'letters': 34, 'digits': 5, 'space': 3, 'other': 0}
MsoyQysso   b2xnkh    3lMp4    b3fgZpZSUtk Weighting value: {'letters': 27, 'digits': 4, 'space': 11, 'other': 0}
LFI1cnHNdaO   Ok     xCw6eH Weighting value: {'letters': 17, 'digits': 2, 'space': 8, 'other': 0}
V0JUjOk     ZVewPMs5LXraSKGbKX6n     lqj426ms Weighting value: {'letters': 29, 'digits': 6, 'space': 10, 'other': 0}
86jvYSBpSHErvNnFb9nj1ZYcwcHFIr Weighting value: {'letters': 26, 'digits': 4, 'space': 0, 'other': 0}
p3Kmjwgj9KQYmn9Ysr Weighting value: {'letters': 15, 'digits': 3, 'space': 0, 'other': 0}
bbP1kiiorq Weighting value: {'letters': 9, 'digits': 1, 'space': 0, 'other': 0}
p8Pr60P3IGu35pbRe4i5wWlzMpUxXdiJ   WQ1yPIQ Weighting value: {'letters': 30, 'digits': 9, 'space': 3, 'other': 0}
XK   yIYcW2fZYhs Weighting value: {'letters': 12, 'digits': 1, 'space': 3, 'other': 0}
SPil     J     wxpG     Vm     z9nd    1EZE Weighting value: {'letters': 17, 'digits': 2, 'space': 24, 'other': 0}
jRXYWcC9G6b8     CAyVjxQTECkOUCFvwNd2hbT5fBv Weighting value: {'letters': 34, 'digits': 5, 'space': 5, 'other': 0}
aSIswWozH5 Weighting value: {'letters': 9, 'digits': 1, 'space': 0, 'other': 0}
dTlPx    UMVSQho3GCEsm4UAxeuoSyex0pXT5fyy1j Weighting value: {'letters': 34, 'digits': 5, 'space': 4, 'other': 0}
V4P1g3SgSWjl4F2DIOPlAgF8Q1Bs6eAB Weighting value: {'letters': 24, 'digits': 8, 'space': 0, 'other': 0}
9JHp9K    IlGo Weighting value: {'letters': 8, 'digits': 2, 'space': 4, 'other': 0}
StVzHZE6G1z     Xt6r249   wPsiFj Weighting value: {'letters': 18, 'digits': 6, 'space': 8, 'other': 0}
1jSIMmJ3kzY   WatfkLN9dnhJKLFi8l56FgOYqzE Weighting value: {'letters': 32, 'digits': 6, 'space': 3, 'other': 0}
qeCjUL93JaJYW8 Weighting value: {'letters': 11, 'digits': 3, 'space': 0, 'other': 0}
DgXNGwqtYF24EHEjQhSuNDu Weighting value: {'letters': 21, 'digits': 2, 'space': 0, 'other': 0}
ej4DoJI6     zxQUM Weighting value: {'letters': 11, 'digits': 2, 'space': 5, 'other': 0}
8oyeQ9G9   gTNw8A    U     L0uSZVYMg7qPh Weighting value: {'letters': 22, 'digits': 6, 'space': 12, 'other': 0}
CCVIEKubagS48N Weighting value: {'letters': 12, 'digits': 2, 'space': 0, 'other': 0}
jbss0mwujBwvVil   2XFC     oAGMk    8 Weighting value: {'letters': 22, 'digits': 3, 'space': 12, 'other': 0}
wiFrzciok0uO1F2q4RFs47dKa71QoGi Weighting value: {'letters': 23, 'digits': 8, 'space': 0, 'other': 0}
mU976hBNUeVJuCIFdgTWU   9yq47QjKTIn   0a6mqRO Weighting value: {'letters': 31, 'digits': 8, 'space': 6, 'other': 0}
7ZraSK1FAPCBC  4 Weighting value: {'letters': 11, 'digits': 3, 'space': 2, 'other': 0}
SmCE     Q7pUP72YliDP2LPfE2PsqgSTjvtZqF6su3K Weighting value: {'letters': 32, 'digits': 7, 'space': 5, 'other': 0}
2qFsu9m5NeE18 Weighting value: {'letters': 8, 'digits': 5, 'space': 0, 'other': 0}
BAMr0cwL70cJ8cekTHepVqnjZnc1zTeqzhD3NdW Weighting value: {'letters': 33, 'digits': 6, 'space': 0, 'other': 0}
epNgF2vUQUd     8dPJtBC   B Weighting value: {'letters': 17, 'digits': 2, 'space': 8, 'other': 0}
8jYyphxgEeBAr8IE1bHFmiVkoLLHm Weighting value: {'letters': 26, 'digits': 3, 'space': 0, 'other': 0}
l6wfHHx6dBRTXNwDoxCKRBvIKiiCvrLGw Weighting value: {'letters': 31, 'digits': 2, 'space': 0, 'other': 0}
7zvblRSI97eWeOxyHj1pBoIZ8 Weighting value: {'letters': 20, 'digits': 5, 'space': 0, 'other': 0}
le     KFDnpw0VPfD0pZ5   pY3WNHOUUgt Weighting value: {'letters': 24, 'digits': 4, 'space': 8, 'other': 0}
ZmXp     aSk09NS9    3Fpc7BM Weighting value: {'letters': 14, 'digits': 5, 'space': 9, 'other': 0}
eGh7DSmOiIvDv4PqWZpqGrPBKRQWS44l9C7eR Weighting value: {'letters': 31, 'digits': 6, 'space': 0, 'other': 0}
gJ   6ZDR0LztVTLxt0pf5x8YcVYLL6F5 Weighting value: {'letters': 23, 'digits': 7, 'space': 3, 'other': 0}
XEAuhXvMQuZaS9lywMFkfWIk0y1LfGN     Lqy Weighting value: {'letters': 31, 'digits': 3, 'space': 5, 'other': 0}
Ffl8ybuEkfcjX04OMm5eOCpwtoHSy86eM    JdNV8028 Weighting value: {'letters': 31, 'digits': 10, 'space': 4, 'other': 0}
80RPsCts7L85    cEdoBohIGB Weighting value: {'letters': 17, 'digits': 5, 'space': 4, 'other': 0}
WdR2gSH8fQrAxbxULqUjs Weighting value: {'letters': 19, 'digits': 2, 'space': 0, 'other': 0}
8xJsPmBfEhseUt     2ankL Weighting value: {'letters': 17, 'digits': 2, 'space': 5, 'other': 0}
SFhg5Mi7TjvVB    KCdexnUH Weighting value: {'letters': 19, 'digits': 2, 'space': 4, 'other': 0}
HlCGpA8RJmq53CyGd Weighting value: {'letters': 14, 'digits': 3, 'space': 0, 'other': 0}
y3lvSsEc     pib3     1hBIIlyJWcsy3Wp6haa Weighting value: {'letters': 26, 'digits': 5, 'space': 10, 'other': 0}
YNAofUa8TriNobYUQqAoy     g29Souamp    T Weighting value: {'letters': 28, 'digits': 3, 'space': 9, 'other': 0}
BkmeWvYruOhfwBNazWMEtBktqwISFZRX5FBN     b Weighting value: {'letters': 36, 'digits': 1, 'space': 5, 'other': 0}
cK    0xURRLKt7Da   D9lJeCj Weighting value: {'letters': 17, 'digits': 3, 'space': 7, 'other': 0}
tD    pASCd    DfxbqFs    VQf Weighting value: {'letters': 17, 'digits': 0, 'space': 12, 'other': 0}
VN    0ZjndGUI5Pkle6OrgZA Weighting value: {'letters': 18, 'digits': 3, 'space': 4, 'other': 0}
S3   3QHcKhyQ Weighting value: {'letters': 8, 'digits': 2, 'space': 3, 'other': 0}
RzmDn9Tc2IhldJBnTyCk8RUUkrqPmu38Gouqjo6YarO8N Weighting value: {'letters': 38, 'digits': 7, 'space': 0, 'other': 0}
tgx1CF1S0DqJ   iSkAaGcuzpxYlirQ2LqtLI Weighting value: {'letters': 30, 'digits': 4, 'space': 3, 'other': 0}
tK5sj0xswD0G6BvuCGEMtprknBUJXrkYx0WmuqlcF4HwP Weighting value: {'letters': 39, 'digits': 6, 'space': 0, 'other': 0}
8Jgjdr6N4z7Ld0b1GPAaC3KtLd1RG   d Weighting value: {'letters': 22, 'digits': 8, 'space': 3, 'other': 0}
qZfeGGvwHvOQvHGB     IQ9m3FK8wOAE0T Weighting value: {'letters': 26, 'digits': 4, 'space': 5, 'other': 0}
